studynum,study_id,bm_GN_RS,Author_Year,PointQual_Represent012,PointQual_Selection012,PointQual_Exposure012,PointQual_OutcDef012,PointQual_FUPduration012,PointQual_FUPlost012,PointQual_TOTALcov012,PointQual_TOTALtrad012,PointQual_TotalScore012,total_cov,total_trad,BiasRiskTotal,PointQual_Represent,PointQual_Selection,PointQual_Exposure,PointQual_OutcDef,PointQual_FUPduration,PointQual_FUPlost,PointQual_TOTALcov,PointQual_TOTALtrad,PointQual_TotalScore
12124,#12124,BM,Lepojärvi 2016,med,med,hig,hig,hig,hig,hig,med,High,10,8,Low,2,2,2,3,1,3,3,4,20
12086,#12086,BM,Li 2017,low,med,hig,hig,hig,low,med,low,Low,6,3,High,1,2,2,3,3,0,2,0,13
12069,#12069,BM,Liao 2019,hig,med,hig,hig,hig,low,med,hig,High,9,9,Low,3,2,2,3,3,0,3,4,20
12063,#12063,BM,Lievre 2011,hig,med,hig,hig,hig,med,low,low,Low,3,3,High,3,2,2,3,1,2,1,0,14
12057,#12057,BM,Lim 2008,low,med,hig,med,hig,low,low,med,Low,5,5,High,1,2,2,2,1,0,1,2,11
12060,#12060,BM,Lim 2019,hig,med,hig,hig,hig,low,hig,hig,High,13,9,Low,3,2,2,3,3,0,4,4,21
12046,#12046,BM,Lin 2010,hig,med,hig,hig,hig,med,med,med,Med,9,6,Med.,3,2,2,3,1,2,3,2,18
12047,#12047,BM,Lin 2013,low,med,hig,hig,hig,hig,hig,hig,High,10,10,Low,1,2,2,3,1,3,3,6,21
12044,#12044,BM,Lin 2019,hig,med,hig,hig,hig,hig,med,med,Med,6,5,Med.,3,2,2,3,1,3,2,2,18
12029,#12029,BM,Linnemann 2003,hig,med,hig,hig,hig,med,med,med,Med,8,4,Med.,3,2,2,3,1,2,2,2,17
12028,#12028,BM,Linnemann 2006,med,med,hig,hig,hig,hig,med,med,Med,8,6,Med.,2,2,2,3,1,3,2,2,17
12475,#12475,BM,Lopes-Virella 2012,med,med,hig,hig,hig,med,low,low,Low,4,3,High,2,2,2,3,1,2,1,0,13
2120,#2120,BM,Lorenzo-Almorós 2020,low,med,hig,hig,hig,hig,hig,hig,High,29,20,Low,1,2,2,3,1,3,4,6,22
12453,#12453,BM,Lowe 2014,hig,med,hig,hig,hig,hig,hig,hig,High,14,10,Low,3,2,2,3,1,3,4,6,24
12421,#12421,BM,Lutgers 2009,hig,med,hig,hig,hig,med,med,med,Med,6,6,Med.,3,2,2,3,1,2,2,2,17
11894,#11894,BM,Masi 2016,med,med,hig,med,hig,hig,low,low,Low,5,3,High,2,2,2,2,1,3,1,0,13
1502,#1502,BM,Massardo 2020,low,med,hig,med,hig,hig,med,med,Low,8,4,High,1,2,2,2,1,3,2,2,15
11844,#11844,BM,McMurray 2011,med,med,hig,hig,hig,med,hig,med,High,15,7,Low,2,2,2,3,1,2,4,4,20
11838,#11838,BM,Meerwaldt 2007,low,med,hig,hig,hig,hig,low,med,Low,4,4,High,1,2,2,3,1,3,1,2,15
11817,#11817,BM,Mellbin 2010,low,med,hig,hig,hig,hig,low,low,Low,2,2,High,1,2,2,3,1,3,1,0,13
11743,#11743,BM,Monseu 2015,hig,med,hig,hig,hig,med,low,low,Low,4,3,High,3,2,2,3,1,2,1,0,14
11733,#11733,BM,Moosaie 2020,med,med,hig,hig,hig,med,hig,hig,High,12,10,Low,2,2,2,3,1,2,3,6,21
11614,#11614,BM,Nagamachi 2006,hig,med,hig,hig,hig,hig,med,med,Med,6,4,Med.,3,2,2,3,1,3,2,2,18
11595,#11595,BM,Nakamura 2010,hig,med,hig,hig,hig,low,hig,hig,High,11,9,Low,3,2,2,3,3,0,3,4,20
11583,#11583,BM,Nam 2020,hig,med,hig,hig,hig,hig,hig,med,High,10,8,Low,3,2,2,3,1,3,3,4,21
11578,#11578,BM,Nargesi 2016,med,med,hig,hig,hig,hig,low,low,Low,3,3,High,2,2,2,3,1,3,1,0,14
11543,#11543,BM,Ndrepepa 2013,low,med,hig,hig,hig,hig,hig,hig,High,17,12,Low,1,2,2,3,1,3,4,6,22
11537,#11537,BM,Nelson 1990,low,med,hig,hig,hig,low,low,low,Low,2,2,High,1,2,2,3,1,0,1,0,10
11384,#11384,BM,Niskanen 1998,hig,med,hig,hig,hig,low,med,med,Low,6,5,High,3,2,2,3,1,0,2,2,15
11381,#11381,BM,Nitenberg 2005,hig,med,hig,hig,hig,med,low,low,Low,4,3,High,3,2,2,3,1,2,1,0,14
11348,#11348,BM,Novo-RodrÃ­guez 2018,med,med,hig,hig,hig,hig,med,med,Med,8,7,Med.,2,2,2,3,1,3,2,4,19
11320,#11320,BM,Oellgaard 2018,med,med,hig,hig,hig,hig,med,med,Med,6,6,Med.,2,2,2,3,1,3,2,2,17
11292,#11292,BM,Oliveira 2009,hig,med,hig,hig,hig,low,low,low,Low,5,3,High,3,2,2,3,3,0,1,0,14
11276,#11276,BM,Ong 2015,med,med,hig,hig,hig,hig,hig,hig,High,15,11,Low,2,2,2,3,1,3,4,6,23
11275,#11275,BM,Ong 2020,hig,med,hig,hig,hig,low,hig,med,Low,10,6,High,3,2,2,3,1,0,3,2,16
11247,#11247,BM,Otto 2012,med,med,hig,hig,hig,hig,low,low,Low,5,3,High,2,2,2,3,1,3,1,0,14
11210,#11210,BM,Panero 2012,hig,med,hig,hig,hig,hig,hig,hig,High,10,9,Low,3,2,2,3,1,3,3,4,21
11191,#11191,BM,Park 2014,low,med,hig,hig,hig,med,low,low,Low,1,1,High,1,2,2,3,3,1,1,0,13
11073,#11073,BM,Peng 2009,hig,med,hig,hig,hig,med,hig,hig,High,14,10,Low,3,2,2,3,1,2,4,6,23
11055,#11055,BM,Peters 2013,hig,med,hig,hig,hig,hig,med,low,Low,6,2,High,3,2,2,3,1,3,2,0,16
11050,#11050,BM,Petretta 2013,hig,med,hig,hig,hig,hig,hig,hig,High,12,9,Low,3,2,2,3,1,3,3,4,21
11041,#11041,BM,Pfister 2011,low,med,hig,hig,hig,med,hig,hig,High,27,21,Low,1,2,2,3,1,2,4,6,21
11021,#11021,BM,Pickup 2003,low,med,hig,hig,hig,hig,low,low,Low,3,3,High,1,2,2,3,1,3,1,0,13
11007,#11007,BM,Pintó 2007,hig,med,hig,hig,hig,med,low,low,Low,5,3,High,3,2,2,3,3,2,1,0,16
1104,#1104,BM,Prentice 2016,hig,med,hig,hig,hig,hig,hig,med,High,13,8,Low,3,2,2,3,1,3,4,4,22
11473,#11473,BM,Qin 2020,hig,med,hig,hig,hig,low,hig,hig,High,27,21,Low,3,2,2,3,1,0,4,6,21
10699,#10699,BM,Radholm 2017,hig,med,hig,hig,hig,med,med,med,Med,8,8,Med.,3,2,2,3,1,2,2,4,19
11430,#11430,BM,Rana 2005,hig,med,hig,hig,hig,hig,low,low,Low,5,2,High,3,2,2,3,1,3,1,0,15
11417,#11417,BM,Rasmussen 2018,hig,med,hig,hig,hig,low,med,hig,Med,9,9,Med.,3,2,2,3,1,0,3,4,18
11406,#11406,BM,Ravassa 2015,med,med,hig,low,hig,hig,med,med,Low,7,6,High,2,2,2,0,1,3,2,2,14
11401,#11401,BM,Rawshani 2016,hig,med,hig,hig,hig,low,hig,hig,High,15,14,Low,3,2,2,3,1,0,4,6,21
10910,#10910,BM,Reinhard 2010,med,med,hig,hig,hig,med,med,med,Med,9,8,Med.,2,2,2,3,1,1,3,4,18
10852,#10852,BM,Resl 2012,med,med,hig,hig,hig,hig,med,med,Med,6,5,Med.,2,2,2,3,3,3,2,2,19
10851,#10851,BM,Resl 2016,hig,med,hig,hig,hig,hig,hig,hig,High,10,9,Low,3,2,2,3,1,3,3,4,21
10737,#10737,BM,RotbainCurovic 2018,hig,med,hig,hig,hig,hig,med,med,High,8,8,Low,3,2,2,3,1,3,2,4,20
10733,#10733,BM,Roumeliotis 2019,hig,med,hig,hig,hig,hig,hig,hig,High,14,11,Low,3,2,2,3,1,3,4,6,24
10728,#10728,BM,Rozing 2019,hig,med,hig,hig,hig,hig,hig,hig,High,13,9,Low,3,2,2,3,1,3,4,4,22
10706,#10706,BM,Rutter 2002,hig,med,hig,hig,hig,hig,hig,hig,High,19,13,Low,3,2,2,3,3,3,4,6,26
10697,#10697,BM,Rørth 2019,hig,med,hig,hig,hig,hig,hig,med,High,14,8,Low,3,2,2,3,1,3,4,4,22
10685,#10685,BM,Saely 2005,low,med,hig,hig,hig,med,low,med,Low,5,5,High,1,2,2,3,1,2,1,2,14
10684,#10684,BM,Saely 2006,low,med,hig,hig,hig,med,hig,hig,High,12,10,Low,1,2,2,3,1,2,3,6,20
10673,#10673,BM,Saito 2000,hig,med,hig,hig,hig,low,hig,hig,Med,12,9,Med.,3,2,2,3,1,0,3,4,18
11179,#11179,BM,Sakai 2018,hig,med,hig,hig,hig,med,low,low,Low,1,1,High,3,2,2,3,1,2,1,0,14
11165,#11165,BM,Salles 2013,hig,med,hig,hig,hig,hig,hig,hig,High,11,11,Low,3,2,2,3,1,3,3,6,23
10670,#10670,BM,Saulnier 2017,hig,med,hig,hig,hig,low,med,med,Low,7,4,High,3,2,2,3,1,0,2,2,15
10663,#10663,BM,Savonitto 2018,low,med,hig,hig,hig,hig,med,med,Low,8,5,High,1,2,2,3,1,3,2,2,16
717,#717,BM,Schimke 2010,hig,med,hig,hig,hig,hig,med,low,Low,6,3,High,3,2,2,3,1,3,2,0,16
10585,#10585,BM,Schulze 2004,low,med,hig,hig,hig,med,hig,hig,High,13,10,Low,1,2,2,3,1,2,4,6,21
696,#696,BM,Scirica 2016,med,med,hig,hig,hig,hig,hig,hig,High,11,10,Low,2,2,2,3,3,3,3,6,24
10532,#10532,BM,Seyoum 2006,hig,med,hig,hig,hig,hig,med,med,High,7,7,Low,3,2,2,3,1,3,2,4,20
10507,#10507,BM,Sharma 2020,low,med,hig,hig,hig,low,hig,hig,Med,10,10,Med.,1,2,2,3,1,0,3,6,18
10469,#10469,BM,Shin 2020,low,med,hig,hig,hig,hig,hig,med,Med,11,8,Med.,1,2,2,3,1,3,3,4,19
10887,#10887,BM,Silva 2013,low,med,hig,med,hig,hig,hig,med,Med,12,5,Med.,1,2,2,2,3,3,3,2,18
10888,#10888,BM,Silva 2013,low,med,hig,med,hig,low,low,low,Low,4,3,High,1,2,2,2,1,0,1,0,9
10436,#10436,BM,Smáradóttir 2019,low,med,hig,hig,hig,hig,low,low,Low,3,3,High,1,2,2,3,1,3,1,0,13
10289,#10289,BM,Soinio 2004,hig,med,hig,hig,hig,med,hig,hig,High,15,14,Low,3,2,2,3,1,1,4,6,22
10274,#10274,BM,Sone 2009,hig,med,hig,hig,hig,hig,low,med,Med,4,4,Med.,3,2,2,3,1,3,1,2,17
10272,#10272,BM,Sone 2011,hig,med,hig,hig,hig,low,hig,hig,Med,11,9,Med.,3,2,2,3,1,0,3,4,18
10273,#10273,BM,Sone 2012,hig,med,hig,hig,hig,med,med,med,Med,8,7,Med.,3,2,2,3,1,1,2,4,18
10271,#10271,BM,Sone 2013,med,med,med,hig,hig,med,low,low,Low,3,3,High,2,2,1,3,1,2,1,0,12
10223,#10223,BM,Standl 1996,med,med,hig,hig,hig,med,med,med,Low,6,5,High,2,2,2,3,1,2,2,2,16
