total_cov,Frequency,Percent,cum_Frequency,cumPercent
1,10,4.03,10,4.03
2,14,5.65,24,9.68
3,34,13.71,58,23.39
4,19,7.66,77,31.05
5,19,7.66,96,38.71
6,19,7.66,115,46.37
7,19,7.66,134,54.03
8,23,9.27,157,63.31
9,23,9.27,180,72.58
10,21,8.47,201,81.05
11,11,4.44,212,85.48
12,8,3.23,220,88.71
13,8,3.23,228,91.94
14,5,2.02,233,93.95
15,6,2.42,239,96.37
16,2,0.81,241,97.18
17,1,0.4,242,97.58
18,2,0.81,244,98.39
20,1,0.4,245,98.79
21,3,1.21,248,100
