BM_GN_RS,gender,total_gender,prop
BM,female,598,0.279831539541413
BM,male,1539,0.720168460458587
GN,female,464,0.549763033175355
GN,male,380,0.450236966824645
RS,female,83,0.299638989169675
RS,male,194,0.700361010830325
