Ancestry,Proportion
"Aboriginal
Australian",0.0608272506082725
"African
(unspecified)",2.16815355501487
"African American or
Afro-Caribbean",0.754257907542579
"Asian 
(unspecified)",0.37712895377129
"East
Asian",19.9113660062565
European,56.9957131271
"Hispanic or
Latin American",4.1889699918897
"Native
American",0.851581508515815
Other,9.14668057003823
"South
Asian",5.54532112926274
